0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04611771,0.04820767,0.05338835,0.047220286,0.040971026,0.06593212,0.14829989,0.028263062,0.04327899,0.037763637,0.038967,0.115969114,0.047937825,0.093825646,0.1671199,0.038437802,0.0069980556,0.100866646,0.044234134,0.08272062,0.06425234,0.09811201,0.058553223,0.046127375,0.09291294,0.0726195,0.04015251,0.045070976,0.051662117,0.04873183,0.07380161,0.07963952,0.103792936,0.055191547,0.085443124,0.09535205,0.09843497,0.080568194,0.082455605,0.107514285,0.06337109,0.09086491,0.057001945,0.09168209,0.08521564,0.09393694,0.11573041,0.062536545,0.056063414,0.05887956,0.05640163,0.07896647,0.052190583,0.027453478,0.054917946,0.05848718,0.08636583,0.07902745,0.08951839,0.030748717,0.05968397,0.099668585,0.049710877,0.10551996,0.064320676,0.095567115,0.058698367,0.07417656,0.040561903,0.07623173,0.028301585,0.05056703,0.054312874,0.08837786,0.069555484,0.026855139,0.07763571,0.07286813,0.054309648,0.024104398,0.09108737,0.10757222,0.052068014,0.08945793,0.07875717,0.002087865,0.04802386,0.09902651,0.048515074,0.040756933,0.03490278,0.063885875,0.037190013,0.0978797,0.038801875,0.06423165,0.05819086,0.042061213,0.096686564,0.070597075
9,0.556886,0.5185929,0.4060926,0.3614373,0.5355,0.54627514,0.39905778,0.47793743,0.4154886,0.5851638,0.38137805,0.6644853,0.48309138,0.56424344,0.4729116,0.44513288,0.508805,0.511582,0.55170995,0.6332226,0.5283417,0.50305426,0.45081216,0.42536452,0.41103226,0.54789454,0.62555104,0.36785626,0.45909247,0.24497229,0.51312596,0.47796622,0.30847555,0.49723873,0.24721423,0.4705597,0.5311654,0.5304071,0.45806143,0.58582467,0.5046623,0.3697488,0.47163484,0.39085904,0.43336543,0.35247177,0.35347965,0.4860264,0.42551702,0.5137694,0.30298227,0.5550593,0.43266258,0.5517695,0.50292575,0.4599314,0.43487626,0.27341023,0.43053988,0.3595393,0.3603055,0.40526947,0.33207208,0.46484438,0.5451565,0.4643718,0.43626165,0.30635038,0.3735638,0.40758702,0.5058185,0.48445532,0.37989956,0.5887913,0.5794036,0.64853203,0.4833683,0.3868891,0.56264603,0.30575332,0.49368367,0.40612006,0.5899737,0.5590129,0.30627096,0.46459192,0.4806513,0.3934763,0.42406785,0.60648066,0.4393982,0.5607668,0.45348144,0.4303449,0.6164537,0.3325697,0.33390048,0.3994925,0.5704237,0.4462374
10,0.73247993,0.73487526,0.7657312,0.4374291,0.7187994,0.61512196,0.71263194,0.6279242,0.5651717,0.66426986,0.5570736,0.675944,0.6924251,0.5574344,0.6548213,0.5832983,0.5151737,0.75568885,0.59656066,0.4782441,0.751369,0.4663054,0.602427,0.72557944,0.6440171,0.6258504,0.6700258,0.589807,0.565186,0.6116326,0.24531288,0.75214165,0.80663407,0.80159044,0.6875096,0.6537265,0.58861953,0.7020736,0.7374085,0.48951617,0.8893203,0.44550017,0.6731178,0.74327314,0.49191248,0.507239,0.8376874,0.43311378,0.60940593,0.5104283,0.69767034,0.4638035,0.53403395,0.6351427,0.6118564,0.76889837,0.78208,0.53884363,0.6917984,0.44139272,0.754194,0.37042278,0.54823047,0.54620326,0.33898497,0.78168046,0.49914736,0.6573099,0.5994405,0.372397,0.53936267,0.6860427,0.6013529,0.5705083,0.69393724,0.63356316,0.6426573,0.6529473,0.79231226,0.5489413,0.5588135,0.7122962,0.6735951,0.59848726,0.72169363,0.61040545,0.67555666,0.68139565,0.6506741,0.44444555,0.76734567,0.6071099,0.669749,0.85822767,0.59553015,0.7390238,0.7173708,0.50700325,0.6898953,0.75586736
