0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.016420532,0.17749426,0.16349901,0.02873637,0.03673734,0.107074976,0.1460176,0.11967032,0.016063191,0.17427142,0.033779975,0.05300501,0.14605023,0.13968976,0.016677622,0.029451575,0.13992885,0.06660793,0.036387224,0.07722701,0.20640978,0.21922763,0.0098926425,0.058657285,0.15383448,0.045328155,0.07090245,0.04941679,0.11800247,0.011248715,0.16182458,0.0021522883,0.0,0.028265465,0.16644187,0.0,0.14366956,0.1424679,0.18038358,0.1079657,0.11220222,0.14935733,0.0,0.13515952,0.0,0.0142041035,0.09860356,0.111952856,0.08754729,0.012908585,0.022395004,0.26835355,0.022358645,0.19323295,0.0049331356,0.0483747,0.08078256,0.3125018,0.0,0.19963063,0.0,0.11645164,0.0,0.22470145,0.0,0.100317806,0.12116342,0.14164816,0.17298159,0.25527546,0.37735513,0.050322473,0.0,0.19545978,0.0,0.0818676,0.22160034,0.2760678,0.12525864,0.0,0.0,0.11357062,0.13312988,0.0,0.3481767,0.2016851,0.08294787,0.08494872,0.10222245,0.26405203,0.041579723,0.0,0.0,0.29986337,0.0,0.026224332,0.070354894,0.12191334,0.24892007,0.17509577
2,0.20635323,0.22933567,0.10181846,0.080832854,0.025722565,0.13253087,0.16986296,0.20268258,0.029363003,0.09807621,0.15705557,0.058326967,0.17057836,0.155037,0.21131739,0.013111226,0.10526303,0.09721806,0.055784598,0.09863488,0.21495458,0.21790345,0.07084155,0.0018551145,0.042906545,0.22287208,0.058791347,0.18472621,0.1530415,0.10914361,0.19558668,0.010100591,0.12961431,0.041327756,0.12114309,0.0,0.095222935,0.09889402,0.106756315,0.0,0.17114882,0.0061880425,0.13406718,0.0128743965,0.06072264,0.049175523,0.1264069,0.0064134514,0.025177347,0.091579735,0.11720692,0.14888074,0.0,0.19021675,0.0,0.13786688,0.13821752,0.070463024,0.1557437,0.14048874,0.2512095,0.003906912,0.3375931,0.22678037,0.053143498,0.054669317,0.14548086,0.21404095,0.15352196,0.2078095,0.43682042,0.32311246,0.012247376,0.07335164,0.25528422,0.4218887,0.0,0.11997217,0.21087436,0.10396001,0.0,0.0,0.21090595,0.24087578,0.16384076,0.14268203,0.196363,0.0,0.0,0.19796339,0.3222959,0.0,0.07893682,0.00912598,0.22071987,0.0066094035,0.085862175,0.0,0.014143197,0.09402079
3,0.037311584,0.071571395,0.0035923799,0.18880475,0.11605803,0.08582809,0.12094595,0.18865107,0.07989092,0.22437799,0.03715354,0.17275605,0.10958865,0.07232468,0.16343047,0.18626261,0.19408248,0.061838184,0.18595354,0.20133169,0.0697162,0.14665858,0.19592154,0.20340195,0.1619753,0.13217968,0.18384662,0.0,0.11293219,0.20382068,0.16664894,0.0,0.11763362,0.15506096,0.18291526,0.093514845,0.16741017,0.0119315,0.14975725,0.03807555,0.032132722,0.006351482,0.1736294,0.03637479,0.0,0.09978843,0.16515583,0.10936868,0.0,0.053436887,0.0,0.21151942,0.102157086,0.1544691,0.21466473,0.0386625,0.0,0.16296726,0.0,0.16214712,0.18662986,0.3168702,0.0,0.117321715,0.142816,0.2857883,0.047925945,0.13776192,0.06911564,0.26464137,0.0,0.052073933,0.36279684,0.06835187,0.27540419,0.0,0.2129514,0.0,0.0,0.4033628,0.055721693,0.12128298,0.0,0.12077216,0.40397218,0.18034352,0.025043719,0.14802793,0.34368896,0.0,0.0052033574,0.0,0.17580642,0.11923281,0.0,0.08787772,0.0,0.032204192,0.0,0.060682602
4,0.13994826,0.038332894,0.058381516,0.0909482,0.1515944,0.15390517,0.12879042,0.091547996,0.11321347,0.073050514,0.04600752,0.037988596,0.058012865,0.02107305,0.0,0.0,0.026324313,0.0,0.15874857,0.07609403,0.10669146,0.102025,0.17204046,0.14243644,0.078657374,0.0,0.058282807,0.11878195,0.19129486,0.16729966,0.0,0.15749519,0.0,0.041389924,0.056603245,0.0,0.03390709,0.1739042,0.13024937,0.16163054,0.13524152,0.12115905,0.01782969,0.0,0.12530027,0.05865803,0.13485488,0.0,0.036734216,0.069548614,0.1629061,0.24845518,0.2683492,0.31059286,0.14266926,0.36264244,0.084990256,0.0,0.0,0.0,0.18181548,0.0,0.16860816,0.0,0.068986125,0.22608407,0.111433715,0.09814974,0.071439765,0.24660763,0.28531387,0.19824831,0.1556184,0.0,0.103836894,0.018443609,0.13064283,0.077061355,0.19692816,0.37927005,0.07176406,0.31582478,0.0,0.0,0.19677778,0.0,0.0,0.30002785,0.0,0.3425909,0.0,0.21136087,0.0,0.017603938,0.0,0.0,0.15917353,0.16982998,0.0,0.15837045
5,0.10286096,0.026532741,0.0,0.11685501,0.12904902,0.1830661,0.029969847,0.19424644,0.18642701,0.16002104,0.0,0.17048521,0.19554543,0.0,0.120256566,0.17812179,0.17627807,0.19294854,0.002926409,0.14354695,0.14999634,0.042134605,0.027159099,0.02332261,0.17391308,0.120429814,0.0,0.093579166,0.12114815,0.17856103,0.04429288,0.027597763,0.0,0.12675601,0.10875855,0.00240085,0.15478362,0.0,0.015362075,0.0,0.0,0.03570023,0.14762153,0.0077958223,0.16256279,0.07839208,0.10643387,0.0,0.12172722,0.092395134,0.0,0.02133822,0.07184523,0.09807298,0.01490039,0.26512435,0.12250683,0.0912179,0.31649005,0.30906793,0.0,0.0,0.019645076,0.01965362,0.09781331,0.0,0.32192457,0.21770795,0.070023835,0.28978735,0.1232996,0.0,0.0,0.1553922,0.17143299,0.07229217,0.21813697,0.011409369,0.13733973,0.13822678,0.25254458,0.0,0.0,0.15771826,0.079949684,0.03948567,0.033893786,0.10158586,0.22514902,0.0,0.0,0.26014605,0.0837265,0.11412844,0.30869198,0.20151088,0.26881912,0.14471981,0.35012418,0.121381916
6,0.20373164,0.14410238,0.06512864,0.18117154,0.104239225,0.13633242,0.11300831,0.07534384,0.12445078,0.20427565,0.05385236,0.11415026,0.0984343,0.056529783,0.17799638,0.13783915,0.037641004,0.076586045,0.1831467,0.16976762,0.10264091,0.12767619,0.17257108,0.008743509,0.10478553,0.16392711,0.1636058,0.16086128,0.060443267,0.18943429,0.036816716,0.14767963,0.18231194,0.16088456,0.0827023,0.17750421,0.101922415,0.04829386,0.0,0.17159161,0.02487915,0.031117424,0.08814317,0.026581436,0.0,0.03960428,0.046566118,0.0,0.16194661,0.10061921,0.16105315,0.0,0.24172314,0.011787518,0.04245003,0.20675763,0.0059967074,0.05478429,0.3241772,0.37476236,0.0,0.21239492,0.0,0.06743458,0.16767372,0.0,0.17371564,0.0,0.31409487,0.0,0.09143047,0.10350812,0.30756202,0.0,0.110295355,0.0,0.28728387,0.0,0.21478678,0.40916306,0.2258616,0.3361995,0.2160626,0.0018330828,0.060104366,0.0,0.3168225,0.052496757,0.17861745,0.31357434,0.0,0.17583512,0.031082543,0.04720315,0.0,0.14297335,0.17303266,0.0,0.16002452,0.08591722
7,0.11942173,0.09128702,0.058539953,0.10810784,0.10959497,0.14322819,0.043188617,0.124714136,0.10878747,0.036431625,0.047218256,0.0773543,0.15353172,0.0066029625,0.018980237,0.00083715026,0.016615368,0.12242932,0.0,0.09210368,0.009944231,0.0,0.12450196,0.18709488,0.12600785,0.110968366,0.13900669,0.1847986,0.0,0.10827721,0.0,0.07502707,0.0,0.057768594,0.15741162,0.0,0.08152485,0.0,0.14603195,0.07493668,0.08673867,0.053026177,0.0,0.14417449,0.08312383,0.15761007,0.0,0.07642977,0.1441333,0.0,0.22455251,0.2215869,0.18739712,0.0,0.0,0.21535029,0.0,0.15942056,0.19606215,0.008329218,0.0,0.0,0.2678012,0.0,0.123727895,0.0,0.0,0.08846169,0.19233944,0.16522484,0.02943739,0.1814018,0.05961639,0.18826103,0.0,0.0,0.08794794,0.030628929,0.0,0.24183702,0.0,0.0,0.0,0.14469492,0.32230034,0.04179085,0.0199765,0.0,0.20415026,0.13206571,0.0,0.0,0.116969265,0.0,0.2763869,0.38038677,0.0,0.17048737,0.2865494,0.0
8,0.0,0.008503622,0.17061651,0.1437379,0.02391765,0.029836148,0.16260009,0.07607057,0.103639364,0.09140197,0.009117686,0.0,0.12593773,0.008729855,0.0,0.181175,0.073902965,0.06700905,0.029769085,0.1091544,0.16127148,0.04120532,0.15116933,0.01622937,0.0,0.024866883,0.04656896,0.0,0.109725565,0.10209373,0.061096136,0.11591983,0.039263487,0.10253397,0.0,0.071940325,0.010711144,0.124856345,0.057795864,0.0,0.009830478,0.017199185,0.0059153507,0.084978156,0.0017933737,0.11803692,0.014064706,0.06349833,0.0,0.13104099,0.0,0.0,0.16824432,0.2796339,0.17473342,0.0,0.2015103,0.07227807,0.0,0.024068048,0.0,0.0,0.041906387,0.0,0.07804151,0.34308574,0.023637455,0.03058128,0.0,0.117699884,0.0,0.11941453,0.0,0.0,0.0,0.1513508,0.2689919,0.18538375,0.07793867,0.28979072,0.20932014,0.23115063,0.0,0.30420616,0.063259475,0.0,0.10594165,0.032239225,0.0,0.0,0.0,0.18021289,0.071422644,0.11291827,0.0,0.33534074,0.0,0.0,0.208011,0.3405761
9,0.12599,0.01653049,0.056861985,0.0,0.0,0.038374107,0.0323546,0.16032611,0.16133374,0.05188482,0.15719241,0.0,0.0,0.17948472,0.0,0.0,0.15594211,0.0,0.059481915,0.11952555,0.023195947,0.016490443,0.07775888,0.1073757,0.0,0.057135403,0.07962091,0.0,0.15979731,0.11208168,0.028417272,0.0,0.11923058,0.0,0.0,0.12656763,0.09180175,0.02818218,0.0,0.0,0.0,0.03922851,0.061791986,0.12685087,0.0,0.12647067,0.0,0.076852895,0.0,0.13956802,0.09912468,0.14381577,0.0,0.0,0.19754712,0.0,0.0,0.060569853,0.0,0.18047293,0.0,0.0,0.0,0.0135052,0.15779845,0.17862804,0.0,0.0,0.21528852,0.2126362,0.117380776,0.010506051,0.032437153,0.15441048,0.0,0.0434427,0.048735373,0.0,0.011824011,0.24159813,0.0,0.0,0.06194547,0.077805035,0.051647767,0.3264536,0.0,0.07504849,0.13992976,0.030009102,0.023539776,0.09766587,0.0,0.121873,0.0031955477,0.0,0.082315505,0.0,0.0,0.083323896
10,0.07331701,0.12944327,0.11375379,0.11504486,0.13848943,0.062236607,0.0,0.014396373,0.057116486,0.0,0.13641867,0.0,0.13774417,0.0,0.0,0.1544134,0.0,0.15874249,0.0,0.1467863,0.0,0.073260665,0.0,0.0,0.013338219,0.071704514,0.01269597,0.0,0.0,0.0,0.13623965,0.099798046,0.08422669,0.022231527,0.0,0.018669367,0.13747862,0.0,0.086895116,0.0,0.097315356,0.0,0.0,0.0,0.0,0.0,0.04482037,0.041519616,0.09934984,0.14668462,0.0,0.34765083,0.0,0.18447891,0.33817345,0.16188596,0.0,0.22245108,0.0,0.0,0.2582548,0.0,0.0,0.036894698,0.22413896,0.0,0.052530758,0.09050416,0.08334865,0.21708731,0.0,0.0,0.0,0.0,0.1247327,0.080718294,0.0,0.0,0.07740054,0.0,0.27846113,0.072391994,0.012379832,0.23092684,0.14689463,0.24063328,0.09991048,0.04642284,0.048124157,0.038269248,0.0,0.027380178,0.22484794,0.19543974,0.0,0.22388512,0.11713323,0.0,0.25202224,0.12094774
