0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03660912,0.059432026,0.09366998,0.07877471,0.031712748,0.0588909,0.029896468,0.056918602,0.016235746,0.029879387,0.0868007,0.03116659,0.036559436,0.07347351,0.03417055,0.03195175,0.077718295,0.064701974,0.019683978,0.082529664,0.0981322,0.099796146,0.047497936,0.043723483,0.07225334,0.044053067,0.0467738,0.06603482,0.052313544,0.08095901,0.044329237,0.019322325,0.05752928,0.060209025,0.03379954,0.07297788,0.04165775,0.021533962,0.007918804,0.0067057544,0.08222488,0.008683214,0.07568207,0.031489987,0.025308022,0.084422484,0.036022037,0.10774804,0.07068427,0.09806869,0.033536877,0.054481853,0.037655044,0.022688983,0.05200081,0.019375192,0.0874503,0.043664116,0.06945688,0.08002036,0.03513241,0.027099641,0.043702126,0.11938679,0.07881828,0.02331333,0.08725431,0.036664378,0.025511075,0.065421626,0.046061795,0.06384513,0.065628365,0.05002247,0.05733051,0.106784835,0.11339621,0.01517618,0.12290307,0.05184781,0.044971563,0.055911366,0.061315097,0.06628738,0.046783663,0.07805304,0.04634897,0.019107964,0.066101745,0.083968624,0.06819372,0.08399747,0.025957221,0.043366138,0.10536172,0.04766007,0.047498107,0.07451876,0.091827616,0.01867118
9,0.5587658,0.41302165,0.50499356,0.5059325,0.6021145,0.54086363,0.59666926,0.626853,0.7565514,0.6502673,0.5733722,0.61546797,0.45330015,0.6052547,0.64126265,0.4826516,0.5957548,0.5996781,0.62649524,0.5313786,0.51874465,0.5377309,0.5956549,0.42565385,0.6150599,0.53603333,0.5693015,0.6386828,0.6137742,0.6993628,0.5798759,0.5133382,0.48722774,0.5592724,0.3329198,0.37227425,0.37123704,0.36713046,0.61135536,0.69403464,0.56657064,0.5736898,0.6012867,0.51987016,0.33916512,0.5855004,0.52386343,0.58967185,0.40957168,0.5347748,0.59749806,0.4812131,0.5942636,0.59448117,0.65380096,0.5971679,0.52812,0.47960705,0.33896664,0.6051191,0.44945642,0.5997486,0.5828932,0.5917293,0.49375838,0.4889329,0.5468767,0.4992645,0.56504434,0.56143653,0.56593144,0.6898342,0.56777465,0.39408207,0.5727629,0.5411579,0.52011406,0.56485385,0.5112351,0.58719414,0.633389,0.5207797,0.39909804,0.6214082,0.41747463,0.6402643,0.5132182,0.65352654,0.61076957,0.70549244,0.3910314,0.5179237,0.4767838,0.54249763,0.5886242,0.43696487,0.46998307,0.6504854,0.4607803,0.33873326
10,0.71172893,0.6054666,0.6426685,0.66120124,0.6253861,0.50110877,0.7562215,0.4891676,0.6756804,0.6546995,0.6792349,0.558338,0.87319416,0.6691378,0.642703,0.7846779,0.7336008,0.6987987,0.81410265,0.60930073,0.7894681,0.596195,0.73396283,0.7351695,0.9386986,0.82534313,0.5754275,0.6397071,0.5332233,0.69064957,0.75564027,0.7763246,0.7427944,0.7032408,0.7302575,0.8007953,0.735039,0.6099955,0.6871634,0.6381377,0.51223737,0.48389986,0.6692508,0.7798064,0.7153797,0.5532691,0.7356585,0.7663206,0.6067565,0.7349245,0.81702775,0.65942454,0.6344231,0.7448355,0.758346,0.54505306,0.5449816,0.64030033,0.6426771,0.7898962,0.81021553,0.4288996,0.530344,0.69185746,0.7407163,0.68262166,0.5845278,0.6752604,0.57503426,0.55205965,0.7635708,0.665517,0.63943076,0.5236918,0.33004206,0.6359056,0.5861346,0.45449966,0.5953777,0.85598606,0.6666667,0.64097375,0.56017,0.7325208,0.7185716,0.6331708,0.57121927,0.6468283,0.65360445,0.6172766,0.72532815,0.49663895,0.52134,0.7012486,0.30145013,0.75,0.79749864,0.7454532,0.7091662,0.7720145
