0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.06002094,0.14120713,0.07542249,0.13221522,0.016145745,0.2330788,0.080131546,0.058310483,0.07384452,0.15386835,0.114773944,0.1755049,0.060800053,0.03474734,0.16002865,0.18954724,0.026234373,0.23045656,0.17135262,0.11806101,0.17294247,0.04205823,0.18380252,0.1809236,0.13736069,0.16348614,0.122793734,0.14823283,0.1959122,0.13520098,0.12025677,0.18779989,0.0,0.058988914,0.13782462,0.117229804,0.005328478,0.039452583,0.084257394,0.011967612,0.0053295423,0.13211589,0.0,0.15320617,0.0,0.0031489218,0.051578354,0.0,0.0,0.003173825,0.13333766,0.0095152985,0.0,0.1803294,0.030405503,0.121405974,0.20559466,0.055016767,0.07609522,0.0,0.2751091,0.052092414,0.008069154,0.0,0.0149632385,0.24091433,0.0,0.23072287,0.26923212,0.1432433,0.37924394,0.13106996,0.17868192,0.038530316,0.07872733,0.063594334,0.2908979,0.089140356,0.052273117,0.078345075,0.08655804,0.0583074,0.08343143,0.15833624,0.024821635,0.036698725,0.013590932,0.111205645,0.25440517,0.0,0.14146228,0.022606285,0.0,0.34209642,0.1870814,0.032671746,0.0,0.0,0.0,0.0
2,0.170741,0.10135351,0.22172482,0.21666342,0.21309632,0.21296415,0.17701456,0.10930393,0.07649136,0.03761579,0.2304286,0.13230978,0.19814189,0.1957323,0.046676744,0.21954085,0.20870984,0.1391915,0.037822977,0.08999278,0.2044519,0.18204142,0.042556763,0.03057014,0.024649136,0.048756782,0.113160424,0.0,0.15996484,0.17277788,0.0023389119,0.075358376,0.017160581,0.0786026,0.11400695,0.0,0.19640951,0.18098295,0.16657037,0.0,0.18547934,0.15949614,0.17794418,0.033496574,0.12003184,0.057975575,0.038881373,0.15791516,0.0,0.019984134,0.10118086,0.0,0.112449944,0.013586917,0.2931602,0.23786248,0.26202902,0.0,0.11678556,0.0,0.105904244,0.067829385,0.1664052,0.3750717,0.2392636,0.14815356,0.011651706,0.051608715,0.0,0.27991146,0.2456611,0.053010114,0.11989311,0.012857142,0.086168766,0.12525435,0.07547729,0.115535274,0.20577382,0.063962765,0.0,0.0,0.025724385,0.26816726,0.17851605,0.0,0.30519375,0.1380288,0.08288209,0.04147939,0.0,0.12772079,0.11621719,0.0033508304,0.043411963,0.0,0.0,0.0,0.0,0.16224568
3,0.09151122,0.07609454,0.114628695,0.15354228,0.022783985,0.10861878,0.081677586,0.16757144,0.010625358,0.17461172,0.2124328,0.16220735,0.017364297,0.12652454,0.01904218,0.01565105,0.19176473,0.16401023,0.016299082,0.0621408,0.13488506,0.16913699,0.0,0.17290822,0.034623597,0.19539243,0.06313983,0.007734507,0.10443102,0.16801916,0.05218678,0.0586759,0.054372065,0.18624009,0.12379766,0.16711557,0.15294592,0.120426156,0.053877022,0.17770934,0.0,0.0497633,0.043106638,0.029896924,0.0,0.17863977,0.032928903,0.07714079,0.07255832,0.038683686,0.21092777,0.21609968,0.28074372,0.33749512,0.1168276,0.0,0.054072563,0.030096024,0.1511083,0.13053098,0.22902204,0.26536083,0.18835482,0.33070922,0.06194865,0.0,0.010026867,0.25932732,0.183743,0.18205117,0.0,0.17630675,0.09827542,0.031386167,0.13398609,0.06370502,0.22707583,0.027592765,0.11022244,0.15268415,0.0,0.022450741,0.11226938,0.07749376,0.16307455,0.17354852,0.018064545,0.04123955,0.2623841,0.38087,0.030468233,0.14715274,0.0,0.037704036,0.0,0.37896138,0.18529883,0.27374217,0.07114926,0.23695222
4,0.02793954,0.006723386,0.18799023,0.14621001,0.07675371,0.08560456,0.0029955672,0.15126437,0.084700644,0.09079674,0.14835252,0.0016861482,0.05285261,0.117046446,0.0012923564,0.10395639,0.024303073,0.038694132,0.15288654,0.16575994,0.08419907,0.010081316,0.014749056,0.1842368,0.18317537,0.12577532,0.11878791,0.09076906,0.0,0.19447884,0.11806109,0.054995798,0.0,0.17359297,0.14854212,0.0,0.10880822,0.04507977,0.05801251,0.0075124702,0.0,0.008742128,0.0,0.1214638,0.026172744,0.12259192,0.013261304,0.0435056,0.15754569,0.14069597,0.14957455,0.08044509,0.252486,0.19062904,0.0,0.0,0.067050815,0.17611541,0.0,0.30073872,0.03472224,0.0,0.0,0.0,0.0,0.057399068,0.20548168,0.038085252,0.0,0.19669327,0.0,0.0023183366,0.0,0.17369233,0.07095435,0.24285568,0.327043,0.0,0.0,0.041492745,0.0,0.0,0.0,0.3236376,0.17874707,0.0,0.21494387,0.0011922036,0.05798673,0.0,0.200323,0.0,0.0,0.28466412,0.0,0.0,0.067700945,0.0,0.0,0.2130408
5,0.0,0.06335703,0.055795263,0.16120175,0.14600973,0.023780592,0.06852543,0.0052082594,0.0023819704,0.090631306,0.0,0.153548,0.14713013,0.026450116,0.06444117,0.120389186,0.1374592,0.0,0.095808916,0.0,0.039916802,0.040249787,0.13262501,0.082006015,0.16816667,0.0062795896,0.073783584,0.0,0.07934969,0.0665106,0.054281767,0.14180733,0.049600333,0.16576087,0.017649017,0.042832095,0.11415424,0.15028104,0.0,0.16657792,0.03491951,0.119693495,0.11300376,0.15794812,0.1630661,0.009931462,0.04599196,0.0,0.0,0.08044434,0.20060861,0.0,0.029159393,0.32317844,0.1881663,0.0,0.0,0.07103249,0.1882002,0.03634774,0.20576338,0.14500757,0.041940328,0.048122436,0.18222319,0.21037833,0.15056747,0.0,0.2617457,0.0,0.0,0.0,0.30777264,0.0,0.3569934,0.015073788,0.0,0.0,0.15277983,0.056312744,0.0,0.07364688,0.025801517,0.30268082,0.0,0.067999035,0.16580714,0.04589441,0.0,0.054189216,0.0,0.2637685,0.027235387,0.25403535,0.16663511,0.10811091,0.22184275,0.041987192,0.0,0.0
6,0.16965008,0.20936866,0.13636987,0.0,0.17646562,0.10035225,0.0,0.024292614,0.12282141,0.0,0.048032705,0.16167213,0.15087284,0.04523807,0.11035317,0.062265694,0.16933458,0.16956757,0.0,0.086910345,0.05700475,0.01061228,0.0056825476,0.0,0.0,0.0,0.09576226,0.08547162,0.08857481,0.08524479,0.0010318235,0.0,0.09506165,0.06573998,0.048016198,0.113684386,0.14628793,0.15473858,0.018776832,0.052477766,0.093570195,0.1713959,0.034481335,0.07063757,0.068382114,0.0,0.0,0.0,0.05272882,0.09073146,0.1430692,0.26848823,0.021016799,0.0,0.15371868,0.0,0.0,0.0,0.0,0.0,0.16671611,0.2215659,0.32482484,0.13430391,0.24377084,0.22110036,0.26396564,0.0066292095,0.0,0.22118029,0.1247042,0.0,0.10463228,0.0,0.20670174,0.0,0.0,0.2118256,0.14776902,0.29372957,0.13599837,0.0,0.27557433,0.0,0.058533646,0.106452614,0.16811325,0.052418254,0.14211857,0.24539293,0.0,0.20782351,0.0,0.0,0.13753948,0.14052477,0.073547065,0.15395714,0.14896329,0.10501094
7,0.14290786,0.079910174,0.007079307,0.06659357,0.18432552,0.14468986,0.18806203,0.0,0.025976818,0.0,0.19157526,0.0,0.023493165,0.15917148,0.0,0.13987431,0.009337442,0.15535608,0.060792472,0.015917243,0.11158948,0.1476134,0.13699982,0.0,0.053818785,0.10355434,0.0,0.0,0.0835177,0.024789095,0.05852774,0.13695984,0.18024242,0.0,0.0,0.10707497,0.0,0.019528594,0.05427334,0.10645915,0.027898416,0.09523877,0.15912522,0.04994646,0.0,0.10429093,0.12908594,0.029895859,0.1355765,0.0,0.09774503,0.2069378,0.0,0.0,0.387029,0.11559613,0.07413467,0.0,0.0,0.0,0.09789999,0.0,0.059430446,0.17048971,0.03548481,0.0,0.027109718,0.2325807,0.0,0.1839854,0.25852332,0.17054358,0.0,0.13772163,0.13066651,0.2368409,0.03463836,0.0,0.0,0.0,0.14629306,0.091231935,0.2578417,0.0,0.0,0.28447086,0.13177368,0.07800411,0.084651306,0.22524032,0.19976881,0.0027715599,0.036023937,0.0,0.0,0.26667818,0.32373965,0.13040355,0.13594577,0.0
8,0.12238498,0.071462296,0.0432795,0.068809815,0.11091079,0.14810161,0.16693315,0.18442856,0.014107276,0.1891036,0.122703396,0.046370886,0.072482996,0.028618671,0.15955988,0.036225796,0.15075514,0.07537499,0.11178335,0.0,0.06940944,0.050234053,0.014418934,0.06084855,0.02457442,0.11688429,0.16997597,0.1641932,0.07554954,0.0,0.008728585,0.13836752,0.14550892,0.13965936,0.075510055,0.03478132,0.11109454,0.10146587,0.0,0.15320951,0.091415234,0.0,0.049382944,0.033050116,0.05208785,0.0066040894,0.0069010663,0.06832741,0.042683873,0.15000078,0.0,0.2003378,0.0,0.039423574,0.09091709,0.3553772,0.043707073,0.06544145,0.0,0.01678425,0.25806302,0.00019051174,0.19067343,0.0,0.0,0.0,0.006281407,0.0,0.08827871,0.031389013,0.08641363,0.09441861,0.085047,0.043148793,0.1836547,0.3132485,0.33469823,0.0,0.0,0.14438874,0.0,0.2621363,0.2833122,0.22342812,0.22310063,0.1688096,0.06508122,0.0,0.02331243,0.011636703,0.23527408,0.0,0.029800802,0.0,0.0045356196,0.0,0.0,0.0,0.14549196,0.0132302465
9,0.009895914,0.036507294,0.0,0.13210149,0.05187473,0.10676794,0.09334259,0.065806404,0.10278913,0.01824595,0.029290237,0.11494771,0.0078896135,0.0,0.14588188,0.0011971392,0.13816202,0.12090186,0.1257565,0.011870709,0.0,0.03909198,0.074267596,0.0,0.0,0.16656971,0.042595934,0.005919049,0.0,0.14638007,0.1047939,0.037877697,0.116700046,0.13180548,0.0010273006,0.11144661,0.06348545,0.017077968,0.0,0.089721836,0.033221304,0.002976317,0.047624305,0.0,0.048968934,0.12487931,0.0,0.086879745,0.055537876,0.066821724,0.029250154,0.0,0.1708059,0.22715524,0.08096595,0.23277433,0.068146154,0.0,0.22821534,0.060640328,0.09209816,0.0,0.1857397,0.17466477,0.32680333,0.0,0.1278013,0.0,0.0,0.0,0.0,0.05281613,0.1087792,0.0,0.014490382,0.0,0.20158602,0.0,0.0,0.2187378,0.25538245,0.04120164,0.10636954,0.0,0.0,0.057250846,0.0,0.0,0.12096554,0.24392043,0.0,0.0,0.08601002,0.16564685,0.024511943,0.23836195,0.06860095,0.094727546,0.21205412,0.048098728
10,0.019215487,0.062420353,0.035204772,0.055228833,0.1366069,0.0,0.08065404,0.1484884,0.012050089,0.0,0.0,0.07496484,0.034102798,0.06985331,0.0031537223,0.0,0.13077857,0.09074642,0.039619524,0.04713994,0.0,0.003204181,0.0,0.0,0.0003776373,0.049811937,0.15319201,0.12687765,0.1369299,0.04891429,0.1220991,0.084295824,0.102392465,0.12215893,0.060828827,0.0,0.12745681,0.0,0.0,0.10233008,0.095181376,0.0,0.046560317,0.0,0.08788075,0.055069726,0.0,0.0,0.0,0.0,0.0,0.0,0.16774242,0.06884769,0.085609175,0.0,0.0,0.24275342,0.0,0.0,0.1922305,0.07339631,0.09922389,0.23455742,0.0,0.0,0.28794646,0.060402665,0.13764507,0.20439096,0.0,0.0,0.0,0.15007721,0.087899595,0.0,0.1449711,0.11229858,0.23913622,0.0,0.20447141,0.21237944,0.018124776,0.0,0.24804293,0.0,0.18810801,0.030093439,0.0,0.01392333,0.098558076,0.0,0.0022657772,0.02198461,0.0,0.20491691,0.0,0.0,0.0,0.12244157
