0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0016193284,0.0003601009,0.0003231292,0.0006515243,0.0,0.0013274163,0.0011890563,0.00089847314,0.0,0.0011665912,0.001000861,0.00087019935,0.00033254462,0.0004887648,0.0010020069,0.0011678856,0.001066912,0.00077448366,0.000855512,0.0014759817,0.001463594,0.0008532353,0.00025195934,0.0,0.0007867966,0.00040118428,0.0008074843,0.0,0.0,0.0012864016,0.00095425383,0.00037666762,3.528849e-06,0.0011798294,0.00063309266,0.00083853066,0.00055473123,0.000770708,0.0,0.0,0.0008733565,0.0010436088,0.00087763555,0.00038222957,0.0016561996,0.0,4.9655686e-05,0.0,0.0,0.0001399256,0.0012600505,0.0,0.0,0.0010354907,1.8605813e-05,0.000531108,0.0011132248,0.0009524482,0.0004892789,0.00054734986,0.00037110044,0.0,0.00039179125,0.00022316621,0.0,0.0011410913,0.0,0.0016048839,0.0,0.00051027583,0.00012795506,0.0017942489,0.00026897027,0.0011227567,0.00096240715,0.00020244738,0.0,0.00030443203,0.001173834,0.0016806882,0.00036170962,0.0,7.60766e-05,0.00071746716,0.0,0.0015580391,0.0015039756,0.00057967677,0.00016594121,0.0,0.0,0.0007182426,0.0008834326,0.00038434987,0.00073928887,0.0006321277,0.00071388966,0.0,0.0009291232,0.0010915579
9,0.45816368,0.48786163,0.39806992,0.38517883,0.36325917,0.55488855,0.39115787,0.3045052,0.20239316,0.5008495,0.47501585,0.3195585,0.5142948,0.33385643,0.4169733,0.46177694,0.47979856,0.3605269,0.39840043,0.39648885,0.5713607,0.3981947,0.3626278,0.42707077,0.46662003,0.41936904,0.2518738,0.3668457,0.24674717,0.43111202,0.31617266,0.33673576,0.39673197,0.34059232,0.31479043,0.4174818,0.4667464,0.3145433,0.42134842,0.31143865,0.5055427,0.49621078,0.38663965,0.3990483,0.39942965,0.40291503,0.36251542,0.51772636,0.27479044,0.48064503,0.3355877,0.48613974,0.40671256,0.3294506,0.36912698,0.30953953,0.38660482,0.3953151,0.35439825,0.38779762,0.43874055,0.3741864,0.27733412,0.33768073,0.5017261,0.24744211,0.26890594,0.38439873,0.436107,0.32208306,0.36159188,0.38684398,0.33869618,0.32981545,0.32014808,0.39714006,0.41224936,0.36628348,0.60891753,0.4102063,0.33903787,0.47554952,0.3506175,0.46538106,0.39154577,0.35978964,0.30746546,0.46978897,0.47161886,0.4343424,0.4775426,0.5234384,0.4378164,0.47135252,0.35045838,0.3085988,0.48045307,0.3437659,0.42650405,0.45918542
10,0.6342868,0.77703905,0.6102916,0.49163926,0.6654567,0.59917545,0.51460356,0.67726594,0.5406116,0.7180727,0.58547395,0.8259915,0.45635757,0.5832962,0.57853425,0.5890747,0.7685106,0.7419849,0.7400866,0.6762269,0.7001194,0.8244827,0.63129246,0.5436401,0.69530326,0.5298263,0.589455,0.74920857,0.71404386,0.51720196,0.5202635,0.4697318,0.67532265,0.68161136,0.45231298,0.8004502,0.7149939,0.5124545,0.60406953,0.7467122,0.46147713,0.75053716,0.65962285,0.7902658,0.5393783,0.750285,0.45794037,0.7012033,0.57296866,0.7052626,0.63826275,0.5963992,0.71633047,0.6184658,0.5846878,0.49071142,0.5138311,0.6387139,0.54522264,0.736594,0.5989585,0.54796755,0.6426836,0.74237293,0.86969805,0.76918834,0.5252463,0.5808193,0.68710613,0.7264648,0.7578332,0.4919349,0.7031636,0.83290905,0.6539823,0.70507866,0.57111514,0.69587946,0.49970838,0.62032616,0.7355476,0.6264742,0.49440008,0.5504005,0.7928518,0.49704283,0.5544505,0.85608196,0.6321687,0.6367268,0.6127451,0.7635058,0.6339768,0.76436013,0.6021515,0.70163846,0.37738958,0.6704287,0.6839857,0.6713524
