0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.17557538,0.019947544,0.11098391,0.08372224,0.11738133,0.0912478,0.14727958,0.094232,0.08161555,0.17079638,0.0,0.0740008,0.03541023,0.0077261715,0.06200069,0.07129724,0.15163185,0.19907326,0.13875401,0.0,0.09441544,0.1130666,0.12427262,0.090024024,0.0,0.16269639,0.026721878,0.01986469,0.0,0.04310977,0.13365836,0.0,0.0,0.048144147,0.022134028,0.1637379,0.13506204,0.0,0.082971245,0.0,0.0,0.022036184,0.12714595,0.075754374,0.01572132,0.17697772,0.0,0.026816376,0.0,0.108879715,0.20867026,0.012314601,0.0,0.20904402,0.24186763,0.10033052,0.15895627,0.021629084,0.028935714,0.2894406,0.0,0.0,0.09085294,0.027138049,0.24589403,0.0,0.2707524,0.21233279,0.2234502,0.024566205,0.015875079,0.10203722,0.0,0.0,0.0,0.10570892,0.14489537,0.0,0.19482553,0.050078828,0.074173674,0.0,0.014880492,0.15144971,0.0,0.14911225,0.0,0.0,0.10731925,0.0,0.0,0.0031129813,0.17661232,0.04874982,0.19366452,0.14561565,0.06394084,0.15285578,0.0,0.2732156
2,0.058535818,0.035290338,0.16381334,0.0,0.0,0.0,0.07890771,0.16540936,0.019758426,0.0,0.1876753,0.0,0.12787399,0.10420127,0.0032673017,0.09398435,0.030256825,0.07440418,0.0,0.17990473,0.0117069045,0.19463857,0.07276155,0.12914106,0.14981802,0.117213584,0.14226869,0.15349916,0.12157088,0.067563586,0.08658284,0.12208554,0.05162726,0.110483155,0.026550997,0.033796057,0.0,0.036631104,0.08958965,0.005677975,0.0,0.1813863,0.14680341,0.0,0.15929486,0.1701235,0.0,0.0,0.0,0.19431573,0.06896096,0.1560301,0.18989272,0.10266445,0.03240082,0.006397431,0.09192063,0.35840917,0.0,0.11113889,0.05755771,0.11667416,0.035607703,0.0,0.15517426,0.05234629,0.0,0.03494953,0.157212,0.21544407,0.0,0.17510669,0.0,0.0860891,0.10751533,0.29501438,0.25266078,0.12608668,0.18457294,0.17624277,0.0,0.28762323,0.0,0.28602266,0.0056273467,0.0555036,0.0,0.050773796,0.08040785,0.1819386,0.0,0.23711719,0.3191698,0.0,0.2959909,0.21526167,0.16768909,0.0,0.037501115,0.17945205
3,0.009954743,0.18983541,0.019810611,0.040242277,0.18185903,0.14692485,0.0,0.14696217,0.14430831,0.0,0.03557758,0.08877696,0.0,0.052300405,0.028299496,0.0,0.04433107,0.18042126,0.1492632,0.054870296,0.1597784,0.0,0.18442808,0.13790475,0.006372164,0.026317166,0.056298908,0.017473634,0.14689595,0.026662203,0.0030123547,0.06363488,0.16290861,0.080697365,0.015172072,0.066833876,0.0,0.16566992,0.015749888,0.1163349,0.07579618,0.0702194,0.01828983,0.14440462,0.11328809,0.09354055,0.13280718,0.014953449,0.0,0.19007245,0.0,0.0654351,0.0,0.059183065,0.1931194,0.16614261,0.105786905,0.2414365,0.019620912,0.15279616,0.0,0.20048024,0.0,0.13539617,0.0580403,0.0,0.12661122,0.08265845,0.010803958,0.15905648,0.06732009,0.13096023,0.29339224,0.15092081,0.1756147,0.0,0.0,0.0,0.12785335,0.0,0.1941966,0.0,0.12893283,0.17409961,0.14923415,0.048962735,0.13876267,0.3168867,0.18361622,0.26696226,0.21188006,0.01030049,0.0,0.12681831,0.27276126,0.0,0.06170958,0.0,0.0,0.21129851
4,0.0,0.0,0.050873,0.0,0.0,0.13619262,0.12063054,0.0,0.13818426,0.00031821505,0.07696306,0.15283309,0.16630022,0.0,0.123993956,0.09103053,0.13616095,0.124584764,0.14951287,0.14487201,0.027123751,0.099886134,0.15995274,0.047781896,0.04107685,0.10281884,0.05260432,0.12194452,0.105796695,0.040172853,0.03302145,0.07195467,0.15467483,0.019610792,0.10634805,0.020494489,0.071819685,0.15373652,0.06366063,0.083918795,0.06945889,0.0,0.0,0.020062026,0.007875771,0.021468788,0.087520346,0.10082298,0.033095557,0.0,0.119379915,0.0,0.17335184,0.0,0.0,0.075771995,0.090567544,0.0,0.016472263,0.0,0.0,0.31828418,0.27216455,0.0,0.01038387,0.10243166,0.028873175,0.06530137,0.13595426,0.2874439,0.0,0.17918558,0.23304479,0.14001372,0.0,0.0,0.0,0.065303825,0.0,0.09517554,0.2177406,0.0,0.21521913,0.17974027,0.121334426,0.035108164,0.0039759646,0.21539398,0.07798748,0.046220038,0.118269674,0.0,0.085865006,0.0,0.1256642,0.0,0.06812045,0.0,0.112590306,0.0
5,0.09517406,0.0,0.06302368,0.0437091,0.06815073,0.0,0.13633636,0.099717245,0.01168068,0.053301547,0.16787697,0.0686997,0.15371624,0.17077938,0.0,0.14401723,0.0,0.0,0.139794,0.12895267,0.12384314,0.14764842,0.02728716,0.08629068,0.10067788,0.0046209437,0.102572754,0.0,0.1258185,0.0,0.0,0.10124316,0.0,0.14238015,0.16438904,0.11559148,0.06309189,0.108009316,0.05315699,0.05067249,0.0,0.102683775,0.034217503,0.0,0.0,0.04906022,0.13156854,0.13820618,0.009904739,0.12131842,0.22822413,0.0,0.24404643,0.0,0.13954009,0.016980207,0.0,0.13019033,0.07091374,0.0,0.0,0.0,0.19213626,0.22852354,0.14584562,0.15969543,0.0,0.0,0.21181287,0.0,0.2825699,0.25176224,0.0,0.109095186,0.23884225,0.0,0.035547975,0.010607076,0.0155788325,0.0,0.15503274,0.18551806,0.0,0.23713578,0.0,0.0,0.0,0.056203987,0.19325139,0.16563529,0.0434659,0.19771244,0.0,0.0,0.0,0.0494793,0.14921932,0.17094648,0.13390167,0.041270953
6,0.13876355,0.12446827,0.0,0.0,0.094030336,0.015328833,0.06379291,0.15558526,0.0,0.022413775,0.06472785,0.09074906,0.12987871,0.0,0.0,0.0366027,0.06424275,0.0,0.13201879,0.01510831,0.0,0.04467241,0.024408147,0.06743678,0.10798175,0.0,0.01598981,0.0,0.0911698,0.10487962,0.0,0.12521015,0.092595026,0.01756329,0.0,0.09100138,0.054110695,0.063032,0.022716343,0.07697157,0.00015664427,0.0171959,0.11359578,0.0,0.0,0.0,0.12456679,0.08753294,0.0667789,0.15177694,0.27028313,0.0,0.07307689,0.10714835,0.0,0.0,0.1161117,0.11229339,0.0,0.0,0.0,0.21829341,0.08714334,0.0,0.15867381,0.17420915,0.23102897,0.0,0.0,0.0045760158,0.0,0.034840547,0.0,0.24815023,0.0,0.042232472,0.0,0.0,0.22185373,0.1126426,0.1378163,0.083842725,0.024170332,0.10125242,0.07835906,0.07800616,0.16929227,0.0,0.19877067,0.0568258,0.066038676,0.0,0.29097033,0.12879738,0.0,0.1465866,0.18044887,0.19677223,0.043721948,0.26520357
7,0.12045106,0.07892241,0.0,0.03588391,0.0,0.0,0.0,0.024580156,0.04226156,0.08100745,0.054670624,0.06189886,0.0,0.06697482,0.12043109,0.0,0.006060747,0.0,0.020270817,0.0,0.1343989,0.051753357,0.005369382,0.15919659,0.14845167,0.055773206,0.0,0.1336904,0.08465177,0.095437266,0.04447646,0.0,0.11409304,0.09683015,0.005699253,0.0,0.025669659,0.13515113,0.022320032,0.095959194,0.048194848,0.0,0.09972297,0.0,0.07447063,0.0,0.14445949,0.0,0.0,0.0,0.0,0.23587851,0.04201919,0.14305857,0.028077647,0.025539212,0.0,0.0,0.0,0.1763492,0.031260703,0.012884723,0.0,0.0,0.20331118,0.0,0.0,0.15878768,0.18363495,0.07870915,0.02607216,0.0,0.16941392,0.058828425,0.23206821,0.0,0.0,0.17579849,0.0,0.070528395,0.0,0.03535353,0.058826685,0.0,0.17364983,0.016657071,0.090553485,0.27914008,0.0,0.009881726,0.0,0.0,0.11126985,0.07110843,0.0,0.0,0.16438162,0.0031894885,0.17508426,0.038408972
8,0.009283493,0.01075531,0.13601589,0.0,0.050692234,0.11791246,0.062217936,0.06697349,0.0,0.0,0.023596682,0.0,0.03360086,0.123248674,0.0,0.008237238,0.08699125,0.14936271,0.0534044,0.0011264283,0.054553993,0.0,0.1570161,0.0,0.023209518,0.0,0.02778275,0.10773544,0.0,0.0,0.15344161,0.07738959,0.0,0.0,0.0,0.0,0.08182156,0.0,0.11074259,0.08338061,0.0,0.0,0.0,0.11918616,0.0,0.059845842,0.0,0.03120232,0.04617529,0.004117466,0.15482132,0.0,0.013616643,0.18148012,0.22987516,0.1524106,0.16896743,0.0,0.08626941,0.0,0.1499809,0.0,0.04732424,0.15210252,0.10893051,0.007164101,0.016828097,0.0,0.0,0.027500909,0.093427196,0.111289635,0.13943802,0.0,0.0,0.0,0.1260629,0.13434823,0.057973925,0.14886624,0.020356396,0.0,0.0,0.03865967,0.13490982,0.0,0.0,0.0,0.13816695,0.1471576,0.0,0.08798008,0.0,0.31849223,0.1488045,0.03727415,0.12818094,0.22817378,0.033861715,0.0
9,0.0,0.0,0.17291167,0.068538524,0.15723121,0.13892582,0.0081835585,0.028533386,0.14503695,0.100024156,0.16773088,0.15842116,0.14185934,0.0,0.07441029,0.10204168,0.04116129,0.06853266,0.017631568,0.0,0.102392875,0.06160372,0.06596898,0.10048537,0.008512264,0.0,0.15339048,0.12476375,0.12756677,0.08044423,0.0,0.036301743,0.0,0.03775574,0.005126379,0.0,0.015842596,0.066680975,0.0,0.0,0.0,0.09311444,0.0659143,0.100112215,0.11973924,0.021395488,0.1342623,0.016843136,0.040293057,0.05695436,0.0,0.0,0.06534034,0.16594034,0.0,0.082603775,0.0,0.12638804,0.1731646,0.22608247,0.16241884,0.1822128,0.0063938037,0.07926491,0.063276164,0.1474483,0.16330153,0.0,0.0,0.15389065,0.0,0.15846954,0.0,0.0,0.0,0.0,0.272992,0.040984776,0.0154895615,0.0,0.16574284,0.09288875,0.0065643457,0.22907244,0.0,0.0,0.192834,0.0,0.0,0.18724054,0.0,0.24149986,0.0,0.20787738,0.22859527,0.10545969,0.0,0.08854625,0.0,0.1402899
10,0.0,0.0,0.105859116,0.0,0.0,0.036777113,0.07275606,0.08768659,0.0,0.0,0.11395788,0.15356594,0.16530856,0.11312574,0.16282184,0.09114267,0.042447776,0.08489325,0.076543406,0.0,0.13680546,0.1399443,0.0,0.15445967,0.0,0.0,0.06364421,0.0,0.027395198,0.0,0.011566732,0.05358199,0.0,0.0,0.0,0.0,0.13213766,0.0014255025,0.021907547,0.009057514,0.09269692,0.0,0.0,0.081819005,0.035458453,0.08195124,0.0,0.14250365,0.110337615,0.14833438,0.0,0.0,0.08840664,0.1638178,0.018149516,0.0075064427,0.15914975,0.0,0.0,0.17146607,0.03060833,0.27497333,0.21418212,0.0,0.12857206,0.112078,0.2233971,0.01965528,0.025604047,0.11452941,0.014245399,0.24048181,0.0,0.33375347,0.0,0.011945501,0.0,0.08213295,0.08336583,0.0,0.0,0.0,0.0729357,0.0,0.18167706,0.0,0.30715463,0.0,0.13443927,0.0,0.19413564,0.0,0.0,0.1908567,0.08945678,0.100020826,0.0,0.0,0.1755942,0.33759633
